t;x;u;c
1.1014197104201100;2.0451849735479635;0.0000000030612134;6.3095734382922428
1.1014197104201100;2.0451874162562627;0.0000000023471786;6.3095734381506743
1.1014197104201100;2.0451898550921350;0.0000000019462308;6.3095734380329720
1.1014197104201100;2.0451922940544116;0.0000000017387236;6.3095734379771145
1.1014197104201100;2.0451947331427607;0.0000000013280136;6.3095734379408093
1.1014197104201100;2.0451971723566404;0.0000000008164293;6.3095734378459429
1.1014197104201100;2.0451996116965643;0.0000000003053726;6.3095734377124737
1.1014197104201100;2.0452020511621858;0.0000000000540200;6.3095734376274217
1.1014197104201100;2.0452044907541254;-0.0000000000422096;6.3095734376604069
1.1014197104201100;2.0452069304716454;-0.0000000000467185;6.3095734376735129
1.1014197104201100;2.0452093703150336;-0.0000000000508537;6.3095734376481039
1.1014197104201100;2.0452118102845196;0.0000000000459075;6.3095734376116566
1.1014197104201100;2.0452142503796109;-0.0000000000361395;6.3095734376543273
1.1014197104201100;2.0452166906005491;-0.0000000000394472;6.3095734376741808
1.1014197104201100;2.0452191309478081;-0.0000000000423911;6.3095734376551897
1.1014197104201100;2.0452215714204489;0.0000000000400392;6.3095734376149686
1.1014197104201100;2.0452240120188732;-0.0000000000304592;6.3095734376470860
1.1014197104201100;2.0452264527435950;-0.0000000000325395;6.3095734376734960
1.1014197104201100;2.0452288935937148;-0.0000000000354942;6.3095734376613528
1.1014197104201100;2.0452313345693889;0.0000000000157796;6.3095734376215669
1.1014197104201100;2.0452337756721359;-0.0000000000239286;6.3095734376386519
1.1014197104201100;2.0452362168999514;-0.0000000000261358;6.3095734376716717
1.1014197104201100;2.0452386582535169;-0.0000000000282400;6.3095734376660282
1.1014197104201100;2.0452410997326989;-0.0000000000070614;6.3095734376267707
1.1014197104201100;2.0452435413380941;-0.0000000000176500;6.3095734376291803
1.1014197104201100;2.0452459830690923;-0.0000000000198496;6.3095734376688117
1.1014197104201100;2.0452484249260929;-0.0000000000220014;6.3095734376697106
1.1014197104201100;2.0452508669086424;-0.0000000000237863;6.3095734376320856
1.1014197104201100;2.0452533090169283;-0.0000000000042614;6.3095734376201991
1.1014197104201100;2.0452557512510130;-0.0000000000145555;6.3095734376648496
1.1014197104201100;2.0452581936113798;-0.0000000000153689;6.3095734376722472
1.1014197104201100;2.0452606360971797;-0.0000000000165405;6.3095734376412054
